weight_year,coicop,product_label,category,weight_eurostat_hbs,weight_insee_bdf,diff_insee_minus_eurostat,abs_diff
2022,043,"Maintenance, repair and security of the dwelling",Fourth quintile,3.59822242237276,3.54309680140393,-0.0551256209688322,0.0551256209688322
2022,044,Water supply and miscellaneous services relating to the dwelling,Fourth quintile,1.66019338291028,1.64237276247647,-0.0178206204338041,0.0178206204338041
2022,112,Accommodation services,Fourth quintile,1.52222417902899,1.54000787409013,0.0177836950611405,0.0177836950611405
2022,052,Household textiles,Fourth quintile,0.444472925594277,0.43694783074455,-0.00752509484972702,0.00752509484972702
2022,082,"Software, excluding games",Fourth quintile,1.13675940049687e-07,1.21722533894295e-07,8.04659384460767e-09,8.04659384460767e-09
2022,01,Food and non-alcoholic beverages,Fourth quintile,19.7402642047822,,,
2022,011,Food,Fourth quintile,,16.2184183808683,,
2022,012,Non-alcoholic beverages,Fourth quintile,,1.37454060745172,,
2022,013,Services for processing primary goods for food and non-alcoholic beverages,Fourth quintile,,1.17287650865602e-07,,
2022,02,"Alcoholic beverages, tobacco and narcotics",Fourth quintile,,4.50239526962673,,
2022,021,Alcoholic beverages,Fourth quintile,2.5319421047067,,,
2022,022,Alcohol production services,Fourth quintile,9.61873338881968e-08,,,
2022,023,Tobacco,Fourth quintile,2.77141941841137e-06,,,
2022,06,Health,Fourth quintile,5.20067425727319,,,
2022,061,Medicines and health products,Fourth quintile,,1.90418069366076,,
2022,062,Outpatient care services,Fourth quintile,,3.00128160457222,,
2022,063,Inpatient care services,Fourth quintile,,0.230299034128006,,
2022,064,Other health services,Fourth quintile,,0.260087994490803,,
2022,07,Transport,Fourth quintile,19.272377745242,,,
2022,071,Purchase of vehicles,Fourth quintile,,4.54382996903683,,
2022,072,Operation of personal transport equipment,Fourth quintile,,11.7483705087399,,
2022,073,Passenger transport services,Fourth quintile,,1.8548962385502,,
2022,074,Transport services for goods,Fourth quintile,,0.225314585912307,,
2022,10,Education services,Fourth quintile,,0.307395112499597,,
2022,101,Early childhood and primary education,Fourth quintile,0.0568379700248436,,,
2022,102,Secondary education,Fourth quintile,0.176197707077015,,,
2022,103,Post-secondary non-tertiary education,Fourth quintile,1.13675940049687e-13,,,
2022,104,Tertiary education,Fourth quintile,0.0841201956367685,,,
2022,105,Education not defined by level,Fourth quintile,2.6145466211428e-08,,,
2022,12,Insurance and financial services,Fourth quintile,,4.92523072361139,,
2022,121,Insurance,Fourth quintile,4.33136054816348,,,
2022,122,Financial services,Fourth quintile,5.83157572454895e-07,,,
