country,year,category,mean_expenditure_pps_hh,group_consumption_share,group_consumption_share_pm,source
BG,2005,Fifth quintile,11209,0.315799853496366,315.799853496366,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2010,First quintile,4088,0.0875787308796435,87.5787308796435,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2010,Second quintile,6432,0.137795106902609,137.795106902609,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2010,Third quintile,8493,0.181948669608809,181.948669608809,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2010,Fourth quintile,11305,0.24219118214148,242.19118214148,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2010,Fifth quintile,16360,0.350486310467458,350.486310467458,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2015,First quintile,5447,0.0870211202351663,87.0211202351663,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2015,Second quintile,8397,0.134150238041985,134.150238041985,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2015,Third quintile,11204,0.178994791833083,178.994791833083,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2015,Fourth quintile,14878,0.237690513467745,237.690513467745,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2015,Fifth quintile,22668,0.362143336422021,362.143336422021,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2020,First quintile,5833,0.088664933801511,88.664933801511,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2020,Second quintile,8917,0.135543496435466,135.543496435466,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2020,Third quintile,12164,0.184899752230684,184.899752230684,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2020,Fourth quintile,15619,0.237417726906532,237.417726906532,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
BG,2020,Fifth quintile,23254,0.353474090625808,353.474090625808,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2005,First quintile,13676,0.0799794144823795,79.9794144823795,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2005,Second quintile,24795,0.145005087897821,145.005087897821,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2005,Third quintile,34189,0.199942688047534,199.942688047534,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2005,Fourth quintile,41065,0.24015462530849,240.15462530849,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2005,Fifth quintile,57269,0.334918184263775,334.918184263775,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2010,First quintile,16559,0.0740702636452285,74.0702636452285,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2010,Second quintile,29829,0.133428461517816,133.428461517816,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2010,Third quintile,43446,0.194338829297095,194.338829297095,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2010,Fourth quintile,55881,0.249961978546954,249.961978546954,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2010,Fifth quintile,77843,0.348200466992906,348.200466992906,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2015,First quintile,14553,0.0817584269662921,81.7584269662921,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2015,Second quintile,22758,0.12785393258427,127.85393258427,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2015,Third quintile,32686,0.183629213483146,183.629213483146,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2015,Fourth quintile,43777,0.245938202247191,245.938202247191,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2015,Fifth quintile,64226,0.360820224719101,360.820224719101,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2020,First quintile,13979,0.0817557095651665,81.7557095651666,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2020,Second quintile,21861,0.127853320466708,127.853320466708,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2020,Third quintile,31398,0.183630142995,183.630142995,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2020,Fourth quintile,42052,0.245939702313068,245.939702313068,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CY,2020,Fifth quintile,61695,0.360821124660058,360.821124660058,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2005,First quintile,11142,0.183546389035319,183.546389035319,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2005,Second quintile,10306,0.169774644175013,169.774644175013,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2005,Third quintile,10588,0.174420137058513,174.420137058513,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2005,Fourth quintile,13199,0.21743212967844,217.43212967844,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2005,Fifth quintile,15469,0.254826700052715,254.826700052715,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2010,First quintile,6262,0.0951411467987481,95.1411467987481,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2010,Second quintile,9898,0.150384393327053,150.384393327053,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2010,Third quintile,12428,0.188823726032392,188.823726032392,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2010,Fourth quintile,15885,0.241347351788265,241.347351788265,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2010,Fifth quintile,21345,0.324303382053542,324.303382053542,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2015,First quintile,7327,0.0973209186180881,97.3209186180881,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2015,Second quintile,11247,0.149388340616574,149.388340616574,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2015,Third quintile,14387,0.19109540823781,191.09540823781,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2015,Fourth quintile,18183,0.241515799540425,241.515799540425,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
CZ,2015,Fifth quintile,24143,0.320679532987103,320.679532987103,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1988,First quintile,8225,0.0978293190603628,97.8293190603628,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1988,Second quintile,12635,0.150282485875706,150.282485875706,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1988,Third quintile,15854,0.188569729408266,188.569729408266,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1988,Fourth quintile,19801,0.235515908415106,235.515908415106,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1988,Fifth quintile,27560,0.327802557240559,327.802557240559,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
DE,1994,First quintile,11132,0.107764837994559,107.764837994559,Eurostat hbs_exp_t133 PPS_HH; equal household income quintiles
