hbs_category,category,country,year,mean_expenditure_pps_hh,household_count,household_share,group_consumption_share,group_consumption_share_pm,source
age,60 years or over,BE,2015,31221,1643,0.267807660961695,0.237740610211385,237.740610211385,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,BE,2020,26529,294,0.0481651376146789,0.041677977403435,41.677977403435,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,BE,2020,33446,1597,0.261631716906946,0.285422053427318,285.422053427318,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,BE,2020,33717,1708,0.279816513761468,0.307733812273034,307.733812273034,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,BE,2020,27280,2505,0.410386631716907,0.365166156896214,365.166156896214,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,BG,2005,8435,157,0.0547038327526132,0.0650041803986451,65.0041803986451,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,BG,2005,8922,662,0.230662020905923,0.289919051990729,289.919051990729,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,BG,2005,8145,836,0.291289198606272,0.334236529817044,334.236529817044,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,BG,2005,5212,1215,0.423344947735192,0.310840237793582,310.840237793582,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,BG,2010,10763,52,0.0174379610999329,0.0201015514882538,20.1015514882538,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 30 to 44 years,BG,2010,11836,426,0.142857142857143,0.181095413086818,181.095413086818,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,From 45 to 59 years,BG,2010,10386,816,0.27364185110664,0.304390694662118,304.390694662118,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,60 years or over,BG,2010,8155,1688,0.566063044936284,0.49441234076281,494.41234076281,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
age,Less than 30 years,BG,2015,16112,79,0.0266351989211059,0.0345996166894124,34.5996166894124,Eurostat hbs_exp_t135 PPS_HH x hbs_car_t314 NR
