centile_id,electricity_share_mean,electricity_share_p25,electricity_share_p50,electricity_share_p75,transfer_mean
80,0.0262786756606792,0.01470340927231,0.0228005351410571,0.0336237239545917,362.081221868096
81,0.0303826634067093,0.0177607031444881,0.0268545223664665,0.0357307978609411,417.654227613607
82,0.0294715058162677,0.0184474331483175,0.0270410492576546,0.039285785862032,345.811710200631
83,0.0320231271987047,0.0181228947579584,0.0259646771690365,0.0447177373059924,419.124058925606
84,0.0323588891019541,0.018664812338349,0.0274138100271395,0.0418949167488604,456.442108864396
85,0.028594694287697,0.0168809593077802,0.0250368273796651,0.0347612439520623,371.17966976077
86,0.0307193180539326,0.0165077331754143,0.0276896412718954,0.0390301226928779,485.786767212661
87,0.028906639622243,0.0165602440871499,0.0239474234546972,0.0396500724152686,367.313946219363
88,0.030896530390327,0.0173121673227145,0.0257137036190583,0.0381345927273176,375.14061678452
89,0.0283332088343612,0.0156726766352534,0.0237464163217899,0.0371043590200177,398.871374837077
90,0.0287159528626403,0.0166985721072719,0.0247040505221105,0.0368779150816213,379.115430655116
91,0.0242164624361023,0.0138565418949346,0.0202792180412323,0.0297822697302556,356.985465336939
92,0.0324919833590634,0.0176119450809578,0.0260350155910721,0.0405610431458045,511.25663666696
93,0.0267778129810329,0.0170587027444212,0.0243607358628151,0.0314603556441805,314.761423125196
94,0.0254515287190872,0.0153994299611057,0.0215385259950605,0.0330152340596753,336.023587257438
95,0.0256210395796777,0.0125753073718042,0.022421225408075,0.0335142658831639,396.5658001544
96,0.0265641173414128,0.0130124478932328,0.0222170885860771,0.0312442626623056,376.887084209529
97,0.0260290383974531,0.0153166903824656,0.025002423684329,0.0303843222802949,448.159320199442
98,0.0289988251618392,0.0176525068662506,0.0233206224721669,0.0358500842913535,419.178911498547
99,0.0286016772052959,0.0158961351506692,0.0232553380487793,0.0351676176928229,477.229312286054
100,0.027034813835258,0.0130072702514677,0.0201040549462686,0.0358840538750659,568.794538439449
