year,quintile,category,coicop,bridge_group,expense_share_pm,income_over_expense_factor,adjusted_share_pm
2020,Q2,Second quintile,CP03,CP03,24.6006530099086,1.08928571428571,26.2651429597404
2015,Q2,Second quintile,CP04,CP04,453.157397128214,1.00867052023121,447.030393366586
2020,Q2,Second quintile,CP04,CP04,465.696437897552,1.00867052023121,460.408751163322
2015,Q2,Second quintile,CP05,CP05,32.7619721893597,0.897435897435897,28.7549174045353
2020,Q2,Second quintile,CP05,CP05,31.568702485161,0.897435897435897,27.7684408242357
2015,Q2,Second quintile,CP06,CP06,38.2473316834163,1.03225806451613,38.6125137885566
2020,Q2,Second quintile,CP06,CP06,41.1855130172441,1.03225806451613,41.6700565807977
2015,Q2,Second quintile,CP07,CP07,68.1899319843237,0.717741935483871,47.8660101497742
2020,Q2,Second quintile,CP07,CP07,55.7944564767339,0.717741935483871,39.2509975231451
2015,Q2,Second quintile,CP08,CP08,29.6376997345329,1.03846153846154,30.1004896090645
2020,Q2,Second quintile,CP08,CP08,27.6212671416506,1.03846153846154,28.1141747546517
2015,Q2,Second quintile,CP09,CP09,29.0646135197136,1.07894736842105,30.6692716549267
2020,Q2,Second quintile,CP09,CP09,23.873988850093,1.07894736842105,25.2473948677227
2015,Q2,Second quintile,CP10,CP10,2.2441652231369,0.444444444444444,0.975463356619841
2020,Q2,Second quintile,CP10,CP10,2.94228030093177,0.444444444444444,1.28171908662156
2015,Q2,Second quintile,CP11,CP11_CP12,26.2734775321247,1.34177215189873,34.4774377638059
2015,Q2,Second quintile,CP12,CP11_CP12,62.1024031069325,1.34177215189873,81.4940365425203
2020,Q2,Second quintile,CP11,CP11_CP12,18.8204545783564,1.34177215189873,24.7514250649371
2020,Q2,Second quintile,CP12,CP11_CP12,55.3049213110937,1.34177215189873,72.7333981150483
2015,Q3,Third quintile,CP01,CP01_CP02,198.400258354405,1.03125,201.441744672108
2015,Q3,Third quintile,CP02,CP01_CP02,20.6882445146948,1.03125,21.0053963830977
2020,Q3,Third quintile,CP01,CP01_CP02,232.040362023535,1.03125,236.121677414411
2020,Q3,Third quintile,CP02,CP01_CP02,20.3667272880375,1.03125,20.7249539207559
2015,Q3,Third quintile,CP03,CP03,41.0373327356288,1.078125,43.5603661518711
2020,Q3,Third quintile,CP03,CP03,32.4161387325492,1.078125,34.4856775385998
2015,Q3,Third quintile,CP04,CP04,392.85419457715,1,386.789498073469
2020,Q3,Third quintile,CP04,CP04,417.752013843188,1,412.217965996574
2015,Q3,Third quintile,CP05,CP05,38.1751912953925,0.869565217391304,32.6833572349455
2020,Q3,Third quintile,CP05,CP05,34.9127448166499,0.869565217391304,29.9567377582365
2015,Q3,Third quintile,CP06,CP06,39.9102073536686,1,39.2940925244519
2020,Q3,Third quintile,CP06,CP06,43.5737926951013,1,42.9965615971235
2015,Q3,Third quintile,CP07,CP07,84.7430938993243,0.755905511811024,63.0688783045997
2020,Q3,Third quintile,CP07,CP07,69.7097638319296,0.755905511811024,51.9959463959756
2015,Q3,Third quintile,CP08,CP08,27.4912470443942,1.04347826086957,28.2436698022106
2020,Q3,Third quintile,CP08,CP08,25.9800028857491,1.04347826086957,26.7504421377531
2015,Q3,Third quintile,CP09,CP09,41.5691659166951,1.10416666666667,45.1907159638951
2020,Q3,Third quintile,CP09,CP09,31.4590911842227,1.10416666666667,34.2759237721487
2015,Q3,Third quintile,CP10,CP10,3.66244650180659,0.666666666666667,2.40393826124977
2020,Q3,Third quintile,CP10,CP10,3.57086972990836,0.666666666666667,2.34904378375077
2015,Q3,Third quintile,CP11,CP11_CP12,39.6488084746032,1.24210526315789,48.4877265438318
2015,Q3,Third quintile,CP12,CP11_CP12,71.8198093322371,1.24210526315789,87.8306160842705
2020,Q3,Third quintile,CP11,CP11_CP12,25.6420000027799,1.24210526315789,31.4281387477919
2020,Q3,Third quintile,CP12,CP11_CP12,62.5764929663495,1.24210526315789,76.6969309368787
2015,Q4,Fourth quintile,CP01,CP01_CP02,184.642523461846,1.03015075376884,188.703524569836
2015,Q4,Fourth quintile,CP02,CP01_CP02,19.4816907923981,1.03015075376884,19.9101682980676
2020,Q4,Fourth quintile,CP01,CP01_CP02,209.204833668562,1.03015075376884,214.696562681191
