IDENT;Regroupement;Ensemble;Décile1;Décile2;Décile3;Décile4;Décile5;Décile6;Décile7;Décile8;Décile9;Décile10
07361;07361 - Autres services de transport (yc déménagement);15;7;5;6;12;13;17;13;13;20;46
073zz;073Z - Services de transport;514;457;351;251;315;334;410;546;499;740;1 232
073ZZ;073ZZ - Services de transport;514;457;351;251;315;334;410;546;499;740;1 232
074 ;074 - Autres dépenses de transport;365;166;180;178;211;220;331;344;438;565;1 010
0741;0741 - Autres dépenses de transport;365;166;180;178;211;220;331;344;438;565;1 010
0741Z;0741Z - Autres dépenses de transport;365;166;180;178;211;220;331;344;438;565;1 010
08;08 - COMMUNICATIONS;743;647;657;654;702;704;746;776;800;851;894
081;081 - Communications et services postaux;743;647;657;654;702;704;746;776;800;851;894
0810;0811 - Services postaux;22;12;15;18;17;17;25;31;21;35;34
08111;08111 - Services postaux (yc timbres, enveloppes);22;12;15;18;17;17;25;31;21;35;34
0820;0812 - Achats de téléphones et télécopieurs;86;68;70;63;72;76;69;103;113;106;119
08121;08121 - Achats et réparation téléphones fixes ou portables, télécopieurs et accessoires;86;68;70;63;72;76;69;103;113;106;119
0830;0813 - Services de téléphone, télégraphe et télécopie, internet, recharges téléphoniques;635;567;573;573;614;611;652;643;666;710;741
08131;08131 - Services de téléphone et fax, internet, recharges téléphoniques;635;567;573;573;614;611;652;643;666;710;741
09;09 - LOISIRS ET CULTURE;2 566;1 255;1 233;1 478;1 780;1 966;2 430;2 787;3 234;4 151;5 326
091 ;091 - Equipements audiovisuels, photographiques et informatiques;257;167;154;162;177;211;228;318;298;368;482
0911;0911 - Appareils de réception, d’enregistrement et de reproduction, du son et de l’image;93;51;65;58;54;86;68;153;116;108;168
0911Z;0911Z - Appareils de réception, d’enregistrement et de reproduction, du son et de l’image;93;51;65;58;54;86;68;153;116;108;168
0913;0913 - Equipement informatique;90;67;56;66;63;68;75;88;104;138;178
09131;09131 - Micro-ordinateurs, tablettes, matériels et accessoires informatiques (yc pièces détachées), consommables;90;67;56;66;63;68;75;88;104;138;178
0914;0914 - Supports d enregistrement pour l image et le son;48;25;26;30;47;44;50;51;56;68;85
09141;09141 - Supports vierges ou enregistrés pour l’image et le son (yc téléchargement);48;25;26;30;47;44;50;51;56;68;85
0915;091A - Equipement photo, cinéma, optique;26;25;6;10;14;12;36;27;22;55;51
091AZ;091AZ - Equipement photo, cinéma, optique;26;25;6;10;14;12;36;27;22;55;51
092 ;092 - Autres biens durables importants du domaine des loisirs et de la culture;94;5;15;58;11;10;83;50;324;266;119
092zz;092Z - Autres biens durables importants du domaine des loisirs et de la culture;94;5;15;58;11;10;83;50;324;266;119
092ZZ;092ZZ - Autres biens durables importants du domaine des loisirs et de la culture;94;5;15;58;11;10;83;50;324;266;119
093 ;093 - Autres articles et équipements de loisirs, de jardinage et animaux d’agrément;472;319;275;329;356;405;552;565;558;700;661
0931;0931 - Jeux, jouets et passe temps, articles de sport, de camping et de loisirs en plein air;167;126;101;138;117;172;214;187;208;199;211
0931Z;0931Z - Jeux, jouets et passe temps, articles de sport, de camping et de loisirs en plein air;167;126;101;138;117;172;214;187;208;199;211
0932;0932 - Horticulture, accessoires et frais de livraison;143;71;61;75;96;108;167;151;177;265;261
09321;09321 - Horticulture, accessoires et frais de livraison;143;71;61;75;96;108;167;151;177;265;261
093AZ;093A - Animaux d’agrément;161;123;113;116;143;125;170;227;173;236;188
