year,category,division,national_share,lambda,adjusted_share_pm_uncontracted,adjusted_share_pm
2020,First quintile,07,0.0948577130036348,0.35,19.7772814456062,71.4591292329291
2020,Second quintile,07,0.0948577130036348,0.35,39.2509975231451,76.652358464395
2020,Third quintile,07,0.0948577130036348,0.35,51.9959463959756,79.9556273649119
2020,Fourth quintile,07,0.0948577130036348,0.35,74.1869682801963,86.7436309448866
2020,Fifth quintile,07,0.0948577130036348,0.35,118.629071701233,100.947289488959
2015,First quintile,08,0.0259675404510903,0.65,30.4865697637026,30.0644197954968
2015,Second quintile,08,0.0259675404510903,0.65,30.1004896090645,29.1786683365951
2015,Third quintile,08,0.0259675404510903,0.65,28.2436698022106,27.4413052223821
2015,Fourth quintile,08,0.0259675404510903,0.65,27.046840616394,26.3979042381666
2015,Fifth quintile,08,0.0259675404510903,0.65,21.0221097972661,22.2806710342303
2020,First quintile,08,0.0232151778787136,0.65,27.3011100260354,26.9573250847385
2020,Second quintile,08,0.0232151778787136,0.65,28.1141747546517,26.8396602815296
2020,Third quintile,08,0.0232151778787136,0.65,26.7504421377531,25.5448991864814
2020,Fourth quintile,08,0.0232151778787136,0.65,25.8489410270394,24.6769731021039
2020,Fifth quintile,08,0.0232151778787136,0.65,19.0639624716333,20.0733729140635
2015,First quintile,09,0.0519350809021807,0.35,20.9162109989773,42.7263250884731
2015,Second quintile,09,0.0519350809021807,0.35,30.6692716549267,45.3067855220854
2015,Third quintile,09,0.0519350809021807,0.35,45.1907159638951,49.5642230162974
2015,Fourth quintile,09,0.0519350809021807,0.35,61.8063226108716,54.8267889319265
2015,Fifth quintile,09,0.0519350809021807,0.35,95.2406487936698,65.6992374812051
2020,First quintile,09,0.0409385919278845,0.35,15.4768167104497,33.3717417524883
2020,Second quintile,09,0.0409385919278845,0.35,25.2473948677227,36.0376419541328
2020,Third quintile,09,0.0409385919278845,0.35,34.2759237721487,38.654777430146
2020,Fourth quintile,09,0.0409385919278845,0.35,45.5517713354432,42.1261711319373
2020,Fifth quintile,09,0.0409385919278845,0.35,79.9431792426712,53.4101175035914
2015,First quintile,10,0.00599251033361855,0.65,0.412214776557816,2.46020213110987
2015,Second quintile,10,0.00599251033361855,0.65,0.975463356619841,2.78144770909211
2015,Third quintile,10,0.00599251033361855,0.65,2.40393826124977,3.65917584246961
2015,Fourth quintile,10,0.00599251033361855,0.65,3.57247185211215,4.37454632706268
2015,Fifth quintile,10,0.00599251033361855,0.65,7.55377031604459,6.86186117117239
2020,First quintile,10,0.00599101445136339,0.65,0.514677688826926,2.53348671631599
2020,Second quintile,10,0.00599101445136339,0.65,1.28171908662156,2.97882113595925
2020,Third quintile,10,0.00599101445136339,0.65,2.34904378375077,3.62825014057457
2020,Fourth quintile,10,0.00599101445136339,0.65,3.78247526153037,4.5097485931262
2020,Fifth quintile,10,0.00599101445136339,0.65,7.1290989661213,6.58526988974744
2015,First quintile,11,0.0489388262347472,0.65,22.1407007549927,32.7844601927743
2015,Second quintile,11,0.0489388262347472,0.65,34.4774377638059,40.2629600374797
2015,Third quintile,11,0.0489388262347472,0.65,48.4877265438318,48.6354748475272
2015,Fourth quintile,11,0.0489388262347472,0.65,60.8605333627908,56.1115115558615
2015,Fifth quintile,11,0.0489388262347472,0.65,65.8379901041054,58.6793096547964
2020,First quintile,11,0.0339490762328798,0.65,14.4850993470009,22.191745421182
2020,Second quintile,11,0.0339490762328798,0.65,24.7514250649371,28.4369304965715
2020,Third quintile,11,0.0339490762328798,0.65,31.4281387477919,32.3507386486634
2020,Fourth quintile,11,0.0339490762328798,0.65,42.0277518160904,38.8068299812517
2020,Fifth quintile,11,0.0339490762328798,0.65,47.3983777322524,41.7682653366473
2015,First quintile,12,0.0749063686833406,0.65,69.5441895497443,74.2859786575163
2015,Second quintile,12,0.0749063686833406,0.65,81.4940365425203,80.6384489818896
2015,Third quintile,12,0.0749063686833406,0.65,87.8306160842705,83.2897702700678
2015,Fourth quintile,12,0.0749063686833406,0.65,87.199890176952,82.0542280899803
2015,Fifth quintile,12,0.0749063686833406,0.65,85.9348606969515,80.3710607248003
2020,First quintile,12,0.0731402909843921,0.65,63.8458156554717,69.9162774560802
2020,Second quintile,12,0.0731402909843921,0.65,72.7333981150483,74.0908003810357
2020,Third quintile,12,0.0731402909843921,0.65,76.6969309368787,75.5461504950802
2020,Fourth quintile,12,0.0731402909843921,0.65,80.9973899616483,77.4621702119087
2020,Fifth quintile,12,0.0731402909843921,0.65,89.9969697911508,82.2791988244538
